owner_repo,repository,language,topics,stars,forks,watchers,contributors,commits,first_commit,last_commit,pull_requests,issues,created_at,pushed_at,license,archived,disabled
lrusnac/hn-notifier,hn-notifier,Python,,10,2,2,2,42,2016-10-03 18:09:34+02:00,2024-11-01 11:33:44+01:00,4,0,2016-10-03T16:08:26Z,2024-11-01T10:33:45Z,,False,False
iotexproject/iotex-desktop-wallet,iotex-desktop-wallet,TypeScript,,140,78,25,60,1473,2018-12-11 14:58:06-08:00,2024-10-22 11:48:51-07:00,1114,781,2018-10-20T01:12:56Z,2024-10-22T18:48:51Z,Apache License 2.0,False,False
dotintent/react-native-ble-plx,react-native-ble-plx,Java,,3260,526,74,64,829,2016-05-31 12:51:08+02:00,2025-04-03 11:01:11+03:00,246,1018,2016-07-27T10:57:27Z,2025-05-26T20:09:33Z,Apache License 2.0,False,False
leo-editor/leo-editor,leo-editor,Python,"editor, ide, outliner, pim",1543,163,45,89,36410,2008-02-28 10:12:24+02:00,2025-05-11 06:13:23-05:00,1570,2774,2014-02-11T11:14:41Z,2025-07-09T20:44:19Z,Other,False,False
mruby/mruby,mruby,C,,5389,813,236,371,16887,2012-04-19 02:11:15-07:00,2025-05-15 05:46:57+09:00,4545,1691,2012-04-19T09:11:15Z,2025-07-09T05:19:11Z,MIT License,False,False
coronasafe/care,care,Python,"digital-public-goods, hacktoberfest, healthcare, hmis",314,448,12,135,4037,2020-03-17 20:25:52+05:30,2025-05-13 18:20:02+05:30,0,0,2020-03-17T14:48:11Z,2025-07-09T19:50:23Z,MIT License,False,False
OpenMage/magento-lts,magento-lts,PHP,"composer, ecommerce, ecommerce-framework, ecommerce-platform, hacktoberfest, magento, magento-1, magento1, openmage, php",901,450,63,248,2891,2009-01-17 17:44:42-05:00,2025-05-14 04:20:53+02:00,3014,937,2014-10-17T14:23:00Z,2025-07-09T02:45:15Z,Open Software License 3.0,False,False
coding-blocks/CBOnlineApp,CBOnlineApp,Kotlin,"hacktoberfest, hacktoberfest2020",156,181,10,52,1675,2018-09-09 17:39:49+05:30,2020-10-17 22:14:12+05:30,806,249,2018-09-09T12:09:48Z,2021-10-04T01:24:47Z,GNU General Public License v3.0,False,False
boutproject/BOUT-dev,BOUT-dev,C++,"c-plus-plus, computational-physics, numerical-modelling, pde, physics, physics-simulation-library, plasma, python",206,101,30,119,13966,2010-06-15 12:12:33+01:00,2025-04-25 09:27:58-07:00,2217,650,2013-09-12T12:57:55Z,2025-07-08T18:36:21Z,GNU Lesser General Public License v3.0,False,False
pubstandards/pubstandards-london,pubstandards-london,Python,,27,10,5,9,179,2013-10-15 13:34:20+01:00,2025-03-13 11:02:10+00:00,20,10,2013-10-15T16:17:28Z,2025-03-13T11:02:20Z,,False,False
jbangdev/jbang,jbang,Java,"bash, hacktoberfest, java, scripting, shell",1591,172,25,106,1887,2019-12-23 14:42:49+01:00,2025-05-15 12:32:22+02:00,980,561,2019-12-24T22:52:02Z,2025-07-08T21:40:27Z,MIT License,False,False
thought-machine/please,please,Go,"bazel, buck, build, build-system, build-tool, monorepo, multi-language, pants, please-build",2521,208,40,144,4400,2016-02-02 14:47:04+00:00,2025-05-07 12:57:28+01:00,2498,755,2016-02-02T11:27:05Z,2025-07-02T15:21:48Z,Apache License 2.0,False,False
dry-python/returns,returns,Python,"dry-python, fp, functional-programming, hacktoberfest, mypy, mypy-plugins, mypy-stubs, python, python3, railway-oriented-programming, type-safety",3994,135,43,66,2076,2019-01-26 16:08:01+03:00,2025-05-14 01:16:07+03:00,1695,358,2019-01-26T13:08:38Z,2025-07-07T21:52:10Z,"BSD 2-Clause ""Simplified"" License",False,False
emuflight/EmuFlight,EmuFlight,C,"emuflight, emuflight-configurator, flight-controller, fpv, freestyle, hacktoberfest, macroquad, miniquad, multirotor, quadcopter, stm32, whoop",483,116,27,436,13217,2012-02-16 09:39:58+00:00,2024-11-12 09:55:11-06:00,726,274,2019-07-15T13:42:17Z,2025-06-30T18:30:06Z,GNU General Public License v3.0,False,False
cedricziel/idea-php-typo3-plugin,idea-php-typo3-plugin,Java,"hacktoberfest, intellij, intellij-plugin, phpstorm, phpstorm-plugin, typo3-cms",97,8,16,8,864,2017-02-17 17:42:24+01:00,2023-04-04 12:22:57+02:00,251,92,2017-02-17T16:41:47Z,2023-08-29T00:52:24Z,MIT License,False,False
Icinga/icinga2,icinga2,C++,"cluster, distributed-monitoring, elastic, graphite, graylog, icinga, influxdb, metrics, monitoring, notification, opentsdb, performance, rest-api, tls",2108,589,121,360,14177,2012-03-28 13:24:49+02:00,2025-05-14 17:06:36+02:00,3127,6749,2013-08-28T18:02:06Z,2025-07-09T16:46:59Z,GNU General Public License v2.0,False,False
vbenjs/vue-vben-admin,vue-vben-admin,Vue,"admin-template, ant-design, element-plus, monorepo, naive-ui, shadcn-ui, tsx, typescript, vben, vite, vite-template, vue-router, vue3, vuex",29024,7872,256,94,942,2024-05-19 21:20:42+08:00,2025-05-12 23:34:08+08:00,2274,3288,2020-07-11T02:29:21Z,2025-07-09T19:36:47Z,MIT License,False,False
jelhan/croodle,croodle,JavaScript,hacktoberfest,200,25,9,21,1784,2013-10-22 02:09:12-07:00,2025-05-15 12:14:44+00:00,1029,150,2013-10-22T09:09:12Z,2025-07-09T17:05:15Z,MIT License,False,False
jfrog/build-info,build-info,Java,,147,161,48,122,3005,2010-01-14 14:02:55+00:00,2025-04-30 15:27:28+05:30,550,108,2011-02-20T23:33:55Z,2025-07-01T05:52:14Z,Apache License 2.0,False,False
feast-dev/feast,feast,Python,"big-data, data-engineering, data-quality, data-science, feature-store, features, machine-learning, ml, mlops, python",6204,1122,75,332,3997,2018-12-10 16:58:14+08:00,2025-05-15 12:40:37-04:00,3657,1512,2018-12-10T07:20:15Z,2025-07-09T14:09:21Z,Apache License 2.0,False,False
exercism/website,website,Ruby,community-contributions-paused,481,142,14,68,4274,2020-05-04 17:02:35+01:00,2025-05-16 01:34:10+09:00,3573,562,2020-05-03T22:40:17Z,2025-07-09T15:09:06Z,GNU Affero General Public License v3.0,False,False
stern/stern,stern,Go,"debugging, devops, kubernetes, logging, logs, tail",4045,144,25,54,301,2016-09-22 10:51:09+02:00,2025-03-23 22:40:32+09:00,172,120,2020-10-21T12:14:48Z,2025-05-27T12:33:32Z,Apache License 2.0,False,False
rizsotto/Bear,Bear,C++,"build-system, build-tool, clang, compilation-database",5681,336,58,69,1288,2012-10-30 10:53:39+01:00,2025-05-10 12:12:06+10:00,147,404,2012-10-30T14:27:29Z,2025-07-04T12:56:54Z,GNU General Public License v3.0,False,False
kornia/kornia,kornia,Python,"artificial-intelligence, computer-vision, deep-learning, image-processing, machine-learning, neural-network, python, pytorch, robotics, spatial-ai",10591,1031,129,302,2886,2018-08-22 11:31:38+01:00,2025-05-13 11:52:31+02:00,2013,680,2018-08-22T10:31:37Z,2025-07-07T19:43:59Z,Apache License 2.0,False,False
yiisoft/yii2-mongodb,yii2-mongodb,PHP,"hacktoberfest, mongodb, yii, yii2",330,194,47,176,4990,2011-04-14 09:05:15-04:00,2025-05-06 20:40:39+03:00,137,208,2013-12-06T16:00:15Z,2025-07-08T07:57:18Z,"BSD 3-Clause ""New"" or ""Revised"" License",False,False
geops/openlayers-editor,openlayers-editor,JavaScript,"editor, geo, gis, map, openlayers, openlayers-editor, spatial",223,65,22,29,534,2017-03-22 11:48:29+01:00,2024-09-17 16:33:57+02:00,226,47,2017-06-23T12:38:36Z,2024-12-15T05:50:27Z,"BSD 2-Clause ""Simplified"" License",False,False
apache/hop,hop,Java,"apache, data-integration, etl, hop, java, orchestration, pipeline, streaming, workflow",1175,387,48,119,8191,2019-09-24 12:48:13+02:00,2025-05-14 22:04:22+02:00,3160,1201,2019-09-24T10:48:12Z,2025-07-09T18:56:14Z,Apache License 2.0,False,False
