repository,file_path,job_categorized,step,committed_date,from_state,to_state,time_to_next_days,from_commit_hash,to_commit_hash,why,extended_action,why_refine,,
rails_event_store,.github/workflows/ruby_event_store-browser.yml,test,<step_2>,2020-12-07 21:08,enable_cache,adding_parameter,0,45ef2d86e2dedee9dd6731cd23f7665fb31a3d54,45ef2d86e2dedee9dd6731cd23f7665fb31a3d54,adopting new cache,add,improve_cache,,
gqlgen,.github/workflows/integration.yml,other,<step_1>,2022-07-03 14:41,adding_parameter,adding_parameter,0,b8497f52fde0803277d981405cd2e42ce0455a70,b8497f52fde0803277d981405cd2e42ce0455a70,adopting new cache,add,fix_caching_issues,,
ember-osf-web,.github/workflows/CI.yml,lint,<step_2>,2021-06-02 15:50,adding_cache,adding_parameter,0,59a18aed38fa151232735688bfe545062f756d4a,59a18aed38fa151232735688bfe545062f756d4a,adopting new cache,add,improve_cache,,https://github.com/CenterForOpenScience/ember-osf-web/pull/1203/commits/5355a8625e046cf19fbb8633fe5027582e26101a
rails_event_store,.github/workflows/ruby_event_store-browser.yml,test,<step_3>,2020-12-14 22:53,adding_cache,adding_parameter,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,adopting new cache,add,others,,
DeepSpeech,.github/workflows/macOS-amd64.yml,build,<step_7>,2021-04-06 9:07,updating_parameter,adding_parameter,0,7dec4cdb2142b930e01249c43568744311142109,7dec4cdb2142b930e01249c43568744311142109,adopting new cache,add,others,,
rails_event_store,.github/workflows/ruby_event_store-browser.yml,test,<step_4>,2023-04-02 14:09,adding_cache,adding_parameter,0,d08283188ad132c0512e1e1379f537cc024466a3,d08283188ad132c0512e1e1379f537cc024466a3,adopting new cache,add,improve_cache,,
hcloud-cloud-controller-manager,.github/workflows/test_e2e.yml,other,<step_0>,2024-05-31 9:32,cache_version_update,adding_parameter,0,77438db86dd32a2638377751f3e1e73272b1704e,77438db86dd32a2638377751f3e1e73272b1704e,adopting new cache,add,updating_dependency,,
imageproxy,.github/workflows/tests.yml,test,Cache go modules,2021-02-11 22:45,updating_parameter,adding_parameter,6.761458333,87f0c62a3e243b1c1ace2b7565f13d96a3286f7d,762e5cf299b860b9f3fc63d8e86118c63f68b397,adopting new cache,add,others,,
DeepSpeech,.github/workflows/macOS-amd64.yml,test,<step_5>,2021-03-31 11:40,updating_parameter,adding_parameter,15.20287037,6af0ce8f6866b9f2ff9ff7780615af7f01673d3e,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,adopting new cache,add,improve_cache,,
DeepSpeech,.github/workflows/macOS-amd64.yml,build,<step_7>,2021-04-15 16:32,updating_parameter,adding_parameter,0,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,adopting new cache,add,improve_cache,,
