repository,file_path,job_categorized,step,committed_date,from_state,to_state,time_to_next_days,from_commit_hash,to_commit_hash
rails_event_store,.github/workflows/coverage.yml,other,<step_1>,2020-12-14 22:53:18,removing_cache,removing_parameter,0.0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
rails_event_store,.github/workflows/ruby_event_store.yml,test,<step_1>,2020-12-14 22:53:18,removing_cache,removing_parameter,0.0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
rails_event_store,.github/workflows/ruby_event_store-rom.yml,test,<step_1>,2020-12-14 22:53:18,removing_cache,removing_parameter,0.0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
helmwave,.github/workflows/go-lint.yml,lint,<step_0>,2024-06-06 17:11:34,cache_version_update,removing_parameter,0.0,454b346952fe6a5925b783ab12d6f14c77d4d477,454b346952fe6a5925b783ab12d6f14c77d4d477
rails_event_store,.github/workflows/multiple_databases_repository_sample_app.yml,test,<step_1>,2020-12-14 22:53:18,removing_cache,removing_parameter,0.0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
feast,.github/workflows/master_only.yml,build,Cache Public ECR Image,2024-06-13 02:18:39,removing_cache,removing_parameter,0.0,d1e3e447d5e139840e88a32e87a04b92ebca98a1,d1e3e447d5e139840e88a32e87a04b92ebca98a1
rails_event_store,.github/workflows/coverage.yml,other,<step_1>,2020-12-14 22:53:18,removing_cache,removing_parameter,0.0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
hcloud-cloud-controller-manager,.github/workflows/ci.yml,test,<step_0>,2023-09-15 06:43:15,updating_parameter,removing_parameter,52.100590277777776,7bf7e7165ce5f603463ab7bbc0f623bff774aff0,7dcfc0d94c32120bccf7ea2d700616642fbf1733
acl,.github/workflows/build_pull_request.yml,build,Cache emsdk build artifacts,2022-02-20 20:21:40,enable_cache,removing_parameter,125.87673611111111,72a070b59c465a42b1dc69de481d2eaf645d18fe,395f44c35a9037cce80176297da31cbd1170ab70
rails_event_store,.github/workflows/aggregate_root.yml,sync,<step_1>,2020-12-14 22:53:18,removing_cache,removing_parameter,0.0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
