repository,file_path,job_categorized,step,committed_date,from_state,to_state,time_to_next_days,from_commit_hash,to_commit_hash,why,what,who,why_v2,extended_action,why_refine,
yomo,.github/workflows/go.yml,build,Set up Go 1.x,2023-08-31 15:50,updating_parameter,cache_version_update,105.685706,2e25c2e2c08f9400613414b2914fa0730996973e,8bd6320ab529c68c9681000e50ae1a1c5feb5628,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
openexr,.github/workflows/bazel_build.yml,build,Mount Bazel cache,2024-04-03 16:36,cache_version_update,cache_version_update,0,7682c0377496ea2df6302863bb1183632fbd71e0,7682c0377496ea2df6302863bb1183632fbd71e0,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
idea-php-typo3-plugin,.github/workflows/build.yml,build,Setup Gradle Wrapper Cache,2022-04-12 19:59,cache_version_update,cache_version_update,146.907662,bc692a59705d761bb85fc4c81f6c012c2c727508,105033e2692853b2e88d084120ca99c4198274ca,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
stern,.github/workflows/release.yaml,build,<step_1>,2022-09-26 14:03,updating_parameter,cache_version_update,0.953784722,01483887b37e88c70287cd8df6704bb9d567d707,f6f4f640be851ccbd311b609d94a6fdab432d212,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
gitql,.github/workflows/ci.yml,other,Cache node modules,2021-05-30 21:48,enable_cache,cache_version_update,311.0302315,dc1eb7eb54db938cdbb4f9306edec5c8ba14b582,cf7234e9952a9245a20efe64971de1a411d2a94c,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
goalert,.github/workflows/dep-autoapprove.yml,other,<step_2>,2025-01-30 20:08,enable_cache,cache_version_update,31.89171296,e899482a9d59be0586c0a312a2722ef24d35c585,e336d6902af94e4463ddeeddc2f98574035a3f18,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
dgs-framework,.github/workflows/nebula-publish.yml,build,<step_2>,2024-01-22 20:24,cache_version_update,cache_version_update,0,0e55116d65356e3cf0c195c1c923e0807769e23f,0e55116d65356e3cf0c195c1c923e0807769e23f,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
maxminddb-golang,.github/workflows/go.yml,build,Set up Go 1.x,2023-03-17 1:40,cache_version_update,cache_version_update,264.9293634,ec2e971e9164160bc3d5231588818e6771981c09,352ae3e624c55400f0dd3a936556b6f6fa603a3f,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
idea-php-typo3-plugin,.github/workflows/build.yml,test,Setup Gradle Dependencies Cache,2022-04-12 19:59,cache_version_update,cache_version_update,0,bc692a59705d761bb85fc4c81f6c012c2c727508,bc692a59705d761bb85fc4c81f6c012c2c727508,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
aistore,.github/workflows/lint.yml,lint,Install Go,2024-08-10 8:47,enable_cache,cache_version_update,156.6793287,875e0e9110d50e9a7de977ba6db8a38d0150cdc7,f2f5a74ace196349b56b9efff9772781fac031c2,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
openexr,.github/workflows/bazel_build.yml,build,Mount Bazel cache,2024-04-03 16:36,cache_version_update,cache_version_update,5.327511574,7682c0377496ea2df6302863bb1183632fbd71e0,7a31cd59534f559aa045773900feefb899331a1a,security_address,upgrade,bot,fix_security_issue,update,fix_security_issue,secuirty_bot
util,.github/workflows/react-component-ci.yml,lint,restore cache from node_modules,2024-08-14 3:41,cache_version_update,cache_version_update,0,4b0b32b1640352cfccd63ccfb63fcee8b2dde7b3,4b0b32b1640352cfccd63ccfb63fcee8b2dde7b3,human_maintainance,upgrade,Human,non_automated_update,upgrade,others,
percona-backup-mongodb,.github/workflows/reviewdog.yml,other,<step_1>,2023-07-28 16:09,cache_version_update,cache_version_update,0,5e2b9ccaa9c9f258bd5ffc6ef443737beedc8172,5e2b9ccaa9c9f258bd5ffc6ef443737beedc8172,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
mruby,.github/workflows/lint.yml,other,<step_3>,2021-06-16 0:15,enable_cache,cache_version_update,161.0171644,2341e4f5e59bd69aef02a048176d3228cddc293f,d6e1114f71927e34bda05544d548edaa411f583f,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
imageproxy,.github/workflows/linter.yml,lint,<step_1>,2023-04-04 0:39,updating_parameter,cache_version_update,401.1450347,f9fd6c98855327ccbe28020a6811eb276f0fc9cb,3aec0fce3a05fa767349db6d92b7bb9de23cb74f,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
para,.github/workflows/latest.yml,build,Cache Docker layers,2021-08-05 13:00,enable_cache,cache_version_update,1321.821053,76f11b4710f2ad0af4b2fae8aa8ed25396c0360f,62aa7ac0149cd8d91d54c4ea7772acdb4c7f898a,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
idea-php-typo3-plugin,.github/workflows/build.yml,test,Setup Plugin Verifier IDEs Cache,2022-04-12 19:59,cache_version_update,cache_version_update,146.907662,bc692a59705d761bb85fc4c81f6c012c2c727508,105033e2692853b2e88d084120ca99c4198274ca,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
hcloud-cloud-controller-manager,.github/workflows/test_e2e.yml,other,<step_0>,2022-09-13 7:34,updating_parameter,cache_version_update,184.2086111,48f685da1126aa7d601a8e30fe45996336bb487e,109e4b1ccd007c57c40bdf87b8f1193729c2b240,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
rxdb,.github/workflows/main.yml,build,Reuse npm cache folder,2023-01-01 22:49,updating_parameter,cache_version_update,3.700023148,7607a8b9b2346f5de962eac9d2e04045a36d599c,232ca623dd6b577329a52cc452ba71c512ad2a51,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
ember-osf-web,.github/workflows/CI.yml,test,<step_3>,2025-02-27 15:53,cache_version_update,cache_version_update,0,1cdfec919db06c458356876b4019a992ede8908d,1cdfec919db06c458356876b4019a992ede8908d,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
MaterialDrawer,.github/workflows/ci.yml,build,Setup Ruby,2020-10-04 11:56,enable_cache,cache_version_update,1044.905822,db44aaad57ad3c93cdac9acfb7a4b26d24fc865e,3275828d4a0f8560b89811f97014971a241504c0,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
fork-ts-checker-webpack-plugin,.github/workflows/main.yml,test,Locks cache,2022-07-18 10:57,cache_version_update,cache_version_update,0,93e706302ae4317afffd09726694ec11e2933f4c,93e706302ae4317afffd09726694ec11e2933f4c,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
kilo,.github/workflows/ci.yml,linux,Set up Go,2023-01-10 15:10,updating_parameter,cache_version_update,104.7971875,f3986e3097aff4e77b6893e617e7b0a12b3b438f,37f4ea52dc54563b3ec8ff69b4d322022ef9ba12,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
digitransit-ui,.github/workflows/dev-pipeline.yml,test,cache built Relay queries,2024-08-22 15:13,cache_version_update,cache_version_update,0,fcf3496923b3d831b10d7eea2ac4de091f16696e,fcf3496923b3d831b10d7eea2ac4de091f16696e,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
idea-php-typo3-plugin,.github/workflows/build.yml,test,Setup Gradle Dependencies Cache,2022-12-30 23:45,cache_version_update,cache_version_update,0,f200c8426a34a13dde8281ccbad36f253effa83b,f200c8426a34a13dde8281ccbad36f253effa83b,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
dgs-framework,.github/workflows/ci.yml,build,Maven cache,2024-11-06 23:01,cache_version_update,cache_version_update,34.07900463,a86ed0fae74d43c5d3da5895876290e5a45ec7cb,e9b4997a828f37213e3fe0e0d0004338f738350c,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
howsmyssl,.github/workflows/go.yml,build,Set up Go,2023-04-18 1:36,cache_version_update,cache_version_update,238.0894676,bb0cf62c4836e93dfef3a89265c20081cd83dcd0,3bccdba556893df9909b82dc80dfa215f43f9744,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
cakephp-tinyauth,.github/workflows/ci.yml,test,Cache dependencies,2023-08-07 0:08,updating_parameter,cache_version_update,169.2345602,990024bf2602aabed8edc9efb529822183aecbb2,5fa577b2478819cf1c1edebb4f7b210f94ea0262,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
