repository,file_path,job_categorized,step,committed_date,from_state,to_state,time_to_next_days,from_commit_hash,to_commit_hash,why,why_v2,what,who,who_sub,extended_action,why_refine
kilo,.github/workflows/ci.yml,other,Set up Go,2021-09-30 10:10,adding_cache,updating_parameter,2.875636574,a6eef5a8cffb0d23134b84b1d1a2c621f7be3753,f90288133d5543398d032913a7d558960ccf2ad0,human_maintainance,upgrade_parameter_version,language_version_update,Human,,upgrade,update_dependency
goalert,.github/workflows/codeql.yml,analyze,<step_0>,2024-02-13 21:57,enable_cache,updating_parameter,222.9598843,9fe27d789152a5fc55f58296e758425439676220,d0a1638b2f736fed450ddb9b8af03ee1b2bd64bf,human_maintainance,upgrade_parameter_version,language_version_update,Human,,upgrade,update_dependency
hcloud-cloud-controller-manager,.github/workflows/ci.yml,other,<step_2>,2024-12-20 7:14,cache_version_update,updating_parameter,28.03657407,1fad1a57297d78025057474626398c962ae275ab,cf4b516d1eb59c1cbf841bf2d10dbd57cd1a88ba,,upgrade_parameter_version,,,,upgrade,update_dependency
howsmyssl,.github/workflows/go.yml,build,Set up Go,2019-09-28 0:27,enable_cache,updating_parameter,21.43777778,e78a8734f245b50206a7e1d21a65c1d4a14fed0a,a301a8b873da3a6b09d368d9f830511d64826751,,upgrade_parameter_version,,,,upgrade,update_dependency
imgpkg,.github/workflows/gh-test.yml,test,Set up Go 1.x,2024-05-17 1:53,cache_version_update,updating_parameter,0,d08091809cab6e93af8fdf258d852f2e096a4ee6,d08091809cab6e93af8fdf258d852f2e096a4ee6,,downgrade_paramter_version,language_version_update,Human,downgrade,downgrade,update_dependency
imgpkg,.github/workflows/gh-test.yml,test,Set up Go 1.x,2023-03-03 17:47,updating_parameter,updating_parameter,0,40ecb41d3aa2bf526438bf02254ff184d864a0ae,40ecb41d3aa2bf526438bf02254ff184d864a0ae,,upgrade_parameter_version,language_version_update,Human,,upgrade,update_dependency
transformers,.github/workflows/self-scheduled.yml,build,Loading cache.,2020-09-30 9:53,adding_cache,updating_parameter,28.33760417,056723ad1d1666a76cb80b4883894e83636aa5cf,1b6c8d48110b4fa615099748ee8a68f5737180d0,,upgrade_parameter_version,key updated,Human,key updated,upgrade,update_dependency
rails_event_store,.github/workflows/ruby_event_store-browser.yml,test,<step_2>,2023-09-06 8:52,updating_parameter,updating_parameter,2.929791667,10c89f40f2ee930878fab84f7f6ab52a670ecd57,72efe280cebacc18d2a5defc0fc15c65bb218926,,non_automated_update,language_version_update,Human,,update,update_dependency
rails_event_store,.github/workflows/ruby_event_store-outbox.yml,sync,<step_4>,2023-01-31 20:18,adding_cache,updating_parameter,217.804456,f64ad6f3290d66e610812b477b24d47d7309e468,4f027ca7e26e08a69e1301c50e5ac87d7f56b5eb,,mutation,language_version_update,Human,,upgrade,update_dependency
rxdb,.github/workflows/main.yml,other,Reuse npm cache folder,2023-10-12 15:51,updating_parameter,updating_parameter,3.81775463,46f36368b58a9484f00145b85e61e4af21a85f06,d01a87cc88c9ea72c712bf59f4340e09c7501d47,Fixing_cache,fix_caching_issue,key updated,Human,downgrade,downgrade,fixing_caching_issues
feast,.github/workflows/nightly-ci.yml,build,Cache Public ECR Image,2024-04-30 19:16,updating_parameter,updating_parameter,0,4b1634f4da7ba47a29dfd4a0d573dfe515a8863d,4b1634f4da7ba47a29dfd4a0d573dfe515a8863d,,upgrade_parameter_version,key updated,Human,,upgrade,update_dependency
rxdb,.github/workflows/main.yml,other,Reuse npm cache folder,2022-04-29 21:22,updating_parameter,updating_parameter,0,9bde921015e2cdc736c91a96295f3371460bc4e5,9bde921015e2cdc736c91a96295f3371460bc4e5,Fixing_cache,fix_caching_issue,key updated,Human,downgrade,downgrade,fixing_caching_issues
vfs,.github/workflows/golangci-lint.yml,integration,<step_0>,2024-02-20 10:19,updating_parameter,updating_parameter,188.2231597,fcb1bf35f5fba6947d44b5e9986f080c4783b401,27839d3585491c38c919a0ca5f23db25ab36e787,,upgrade_parameter_version,language_version_update,Human,,upgrade,update_dependency
react-native-ble-plx,.github/workflows/ci.yml,build,Cache Gradle,2024-07-09 15:39,updating_parameter,updating_parameter,0,2682749dd01215060a21515a6921f1b976ca0315,2682749dd01215060a21515a6921f1b976ca0315,,non_automated_update,key updated,Human,,update,fixing_caching_issues
rxdb,.github/workflows/main.yml,other,Reuse npm cache folder,2023-11-21 9:25,updating_parameter,updating_parameter,0,76ab9084165ea9a158a852f94cbbbdbdc072818b,76ab9084165ea9a158a852f94cbbbdbdc072818b,Fixing_cache,fix_caching_issue,key updated,Human,,upgrade,fixing_caching_issues
Classic-RBDOOM-3-BFG,.github/workflows/cmake.yml,build,Cache linux vcpkg,2022-10-22 15:13,updating_parameter,updating_parameter,0.032372685,Ö,db617ba854cf5db03d176e251a35b60b88b6c041,Fixing_cache,fix_caching_issue,key updated,Human,,update,fixing_caching_issues
